session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k2241a3,k228334,k22242c,k2241b6,k2241b4,k222414,ke16f08,ke3f60e,k222885,k15b,k221942,k22c218,kea5b10,k22000d
1524876248474,1524876365559,-121.95753778,38.36234928,24.731998,250.9,60.566666,31.37255,0.0,0.0,0.0,63.9,21.787344,1252.7723,340.96,34.901962,1530.5,3.5598755,1.56,17.391304
1524876248474,1524876366560,-121.95762916,38.36232618,29.519999,229.4,60.566666,31.37255,0.0,0.0,0.0,72.6,24.766764,1246.0779,341.14,34.901962,1870.625,3.5580444,1.56,19.875776
1524876248474,1524876367559,-121.95770901,38.36225761,33.876,213.6,60.566666,31.37255,0.0,0.0,0.0,70.5,23.9841,1043.6324,340.2,34.901962,2148.375,3.554306,1.56,22.981367
1524876248474,1524876368559,-121.95778229,38.3621862,34.452,201.8,60.566666,31.37255,0.0,0.0,0.0,63.6,21.695868,873.25867,341.13,34.901962,2350.0,3.5617828,1.56,24.84472
1524876248474,1524876369560,-121.95784511,38.36210517,37.116,198.7,60.566666,31.37255,0.0,0.0,0.0,55.8,19.044538,766.5427,341.3,34.901962,2566.375,3.5636902,1.56,24.84472
1524876248474,1524876370559,-121.95790063,38.36201234,41.184,194.0,60.566666,31.37255,0.0,0.0,0.0,56.1,19.128979,699.9467,340.98,34.901962,2745.5,3.5636902,1.56,27.329193
1524876248474,1524876371560,-121.95794446,38.36188138,45.684,196.7,60.566666,31.37255,0.0,0.0,0.0,58.8,20.096075,703.3626,341.77,34.901962,2745.5,3.5611725,1.56,28.571428
1524876248474,1524876372559,-121.95797026,38.36175914,47.087997,189.4,60.566666,31.37255,0.0,0.0,0.0,59.4,20.254213,665.4956,340.98,34.901962,2892.5,3.564911,1.56,30.434782
1524876248474,1524876373559,-121.9579872,38.36163725,49.572,188.3,60.566666,31.37255,0.0,0.0,0.0,51.9,17.696863,558.66565,341.47,34.901962,3009.75,3.5623932,1.56,31.67702
1524876248474,1524876374559,-121.95800536,38.36150991,51.767998,184.3,60.566666,31.37255,0.0,0.0,0.0,51.9,17.722294,538.35645,341.47,34.901962,3132.25,3.5630035,1.56,32.919254
1524876248474,1524876375559,-121.95801502,38.36136573,53.496,182.1,60.566666,31.37255,0.0,0.0,0.0,45.6,15.598846,456.6208,342.08,34.901962,3253.875,3.5686493,1.56,34.16149
1524876248474,1524876376559,-121.95801649,38.36122788,54.143997,173.7,60.566666,31.37255,0.0,0.0,0.0,29.4,10.079202,295.04572,342.83,34.901962,3296.0,3.5749054,1.56,34.782608
1524876248474,1524876377559,-121.95801074,38.36109346,55.044,180.1,60.566666,31.37255,0.0,0.0,0.0,29.7,10.191258,292.9987,343.14,34.901962,3320.375,3.576126,1.56,34.782608
1524876248474,1524876378559,-121.95799927,38.36094234,55.475998,152.5,60.566666,31.37255,0.0,0.0,0.0,28.5,9.7755,281.04562,343.0,34.901962,3342.75,3.5768127,1.56,34.782608
1524876248474,1524876379559,-121.95800416,38.36082004,53.424,180.8,60.566666,31.37255,0.0,0.0,0.0,29.1,9.967623,286.56915,342.53,34.901962,3342.75,3.5768127,1.56,34.782608
